,Date,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
205718,2007-03-01,Other Theft,2007,3,9,17.0,0.0,7XX GRANVILLE ST,Central Business District,491295.24,5458744.77,49.28139486,-123.1196866
67822,2004-12-01,Mischief,2004,12,17,21.0,0.0,25XX QUEBEC ST,Mount Pleasant,492503.49,5456666.47,49.2627162,-123.1030348
193702,2007-01-01,Mischief,2007,1,26,23.0,0.0,19XX W 17TH AVE,Shaughnessy,489112.12,5455961.75,49.25632615,-123.1496278
480362,2016-04-01,Other Theft,2016,4,26,7.0,28.0,10XX HOWE ST,Central Business District,490869.68,5458475.58,49.27896725,-123.1255317
414723,2014-08-01,Theft from Vehicle,2014,8,13,22.0,0.0,63XX PRINCE ALBERT ST,Sunset,493600.0,5452721.7,49.22724458,-123.087901
193058,2007-07-01,Break and Enter Residential/Other,2007,7,13,18.0,8.0,9XX W 7TH AVE,Fairview,490925.62,5456932.51,49.2650879,-123.1247276
171449,2006-11-01,Theft from Vehicle,2006,11,7,22.0,0.0,5XX W 27TH AVE,South Cambie,491412.03,5454933.1,49.24710984,-123.1179991
46603,2003-08-01,Mischief,2003,8,17,8.0,0.0,11XX W PENDER ST,Central Business District,491229.24,5459423.35,49.28749785,-123.120609
470235,2015-04-01,Theft from Vehicle,2015,4,9,18.0,0.0,HAMILTON ST / W PENDER ST,Central Business District,491930.31,5458824.39,49.28211977,-123.1109563
88311,2004-10-01,Break and Enter Residential/Other,2004,10,5,14.0,15.0,60XX WILLOW ST,Oakridge,491019.04,5453117.65,49.23077383,-123.1233581
352999,2012-06-01,Break and Enter Residential/Other,2012,6,15,23.0,0.0,24XX BRUNSWICK ST,Mount Pleasant,492938.15,5456741.85,49.26339943,-123.097062
210619,2007-05-01,Theft of Vehicle,2007,5,2,20.0,0.0,30XX W 12TH AVE,Kitsilano,487467.28,5456530.31,49.26140896,-123.1722498
450891,2015-01-01,Break and Enter Residential/Other,2015,1,20,11.0,30.0,8X W 47TH AVE,Oakridge,492152.71,5452768.71,49.22765061,-123.1077797
133679,2005-09-01,Theft from Vehicle,2005,9,8,22.0,0.0,25XX W 3RD AVE,Kitsilano,488189.4,5457386.17,49.26912193,-123.1623503
168020,2006-01-01,Break and Enter Residential/Other,2006,1,23,0.0,0.0,4XX W 12TH AVE,Mount Pleasant,491704.78,5456413.63,49.26043155,-123.1140073
197685,2007-12-01,Theft from Vehicle,2007,12,9,15.0,45.0,1XX W PENDER ST,Central Business District,492171.05,5458703.31,49.28103377,-123.1076439
180500,2006-05-01,Theft of Vehicle,2006,5,6,21.0,0.0,7XX E BROADWAY AVE,Mount Pleasant,493521.83,5456634.5,49.26244026,-123.0890379
349318,2011-02-01,Other Theft,2011,2,7,19.0,14.0,31XX OAK ST,Fairview,490739.18,5456053.78,49.25718077,-123.1272699
301948,2010-11-01,Break and Enter Residential/Other,2010,11,6,18.0,0.0,12XX W 8TH AVE,Fairview,490329.71,5456863.39,49.26445703,-123.1329167
228354,2008-09-01,Mischief,2008,9,17,18.0,0.0,34XX KINGSWAY AVE,Renfrew Collingwood,497714.19,5453257.11,49.2320899,-123.0313976
403477,2013-06-01,Break and Enter Residential/Other,2013,6,29,22.0,0.0,4XX E 12TH AVE,Mount Pleasant,493133.14,5456343.27,49.25981635,-123.0943751
221339,2007-08-01,Break and Enter Residential/Other,2007,8,17,14.0,30.0,17XX W 4TH AVE,Fairview,489535.18,5457251.4,49.26793416,-123.1438476
426760,2014-09-01,Theft from Vehicle,2014,9,12,8.0,8.0,13XX THURLOW ST,West End,490353.6,5458521.38,49.2793713,-123.1326284
163808,2006-07-01,Mischief,2006,7,30,13.0,10.0,3X BLOOD ALLEY SQ,Central Business District,492360.55,5458913.3,49.28292506,-123.1050423
131839,2005-11-01,Break and Enter Residential/Other,2005,11,4,3.0,20.0,13XX CHESTNUT ST,Kitsilano,489355.48,5457947.5,49.27419259,-123.1463362
419791,2014-01-01,Theft from Vehicle,2014,1,12,15.0,0.0,10XX W 32ND AVE,Shaughnessy,490647.05,5454407.09,49.24236706,-123.1284976
55811,2004-01-01,Break and Enter Residential/Other,2004,1,26,19.0,50.0,23XX WINDSOR ST,Mount Pleasant,493945.87,5456815.27,49.26407066,-123.0832125
290554,2009-08-01,Mischief,2009,8,30,0.0,0.0,47XX MOSS ST,Renfrew Collingwood,496858.97,5454351.78,49.24193293,-123.0431534
